"Data","Moeda","Configuracao","Pontos"
"2023-12-05","AUD","Fraqueza","5561"
"2023-12-06","AUD","Força","2285"
"2023-12-07","JPY","Força","13539"
"2023-12-08","AUD","Força","1764"
"2023-12-10","AUD","Força","1764"
"2023-12-11","JPY","Fraqueza","7754"
"2023-12-12","JPY","Força","3530"
"2023-12-13","NZD","Fraqueza","3739"
"2023-12-14","JPY","Força","5690"
"2023-12-15","EUR","Fraqueza","3639"
"2023-12-17","EUR","Fraqueza","3247"
"2023-12-18","JPY","Fraqueza","4265"
"2023-12-19","JPY","Fraqueza","15697"
"2023-12-20","GBP","Fraqueza","7719"
"2023-12-21","JPY","Força","3116"
"2023-12-22","GBP","Força","2793"
"2023-12-25","GBP","Força","2793"
"2023-12-26","NZD","Força","1165"
"2023-12-27","AUD","Força","1413"
"2023-12-28","CHF","Força","4010"
"2023-12-29","CHF","Força","5721"
"2024-01-01","CHF","Força","5721"
"2024-01-02","CHF","Fraqueza","3835"
"2024-01-03","GBP","Força","3641"
"2024-01-04","JPY","Fraqueza","8513"
"2024-01-05","USD","Força","1953"
"2024-01-07","USD","Força","1492"
"2024-01-08","NZD","Fraqueza","2920"
"2024-01-09","JPY","Força","3018"
"2024-01-10","JPY","Fraqueza","4549"
"2024-01-11","NZD","Força","2133"
"2024-01-12","GBP","Fraqueza","3255"
"2024-01-14","GBP","Fraqueza","3255"
"2024-01-15","NZD","Fraqueza","3608"
"2024-01-16","USD","Força","3756"
"2024-01-17","GBP","Força","7477"
"2024-01-18","JPY","Força","1500"
"2024-01-19","GBP","Fraqueza","3375"
"2024-01-21","GBP","Fraqueza","3375"
"2024-01-22","JPY","Força","1279"
"2024-01-23","EUR","Fraqueza","1433"
"2024-01-24","USD","Fraqueza","2499"
"2024-01-25","CHF","Fraqueza","1796"
"2024-01-26","JPY","Fraqueza","2371"
"2024-01-28","JPY","Fraqueza","2371"
"2024-01-29","EUR","Fraqueza","3578"
"2024-01-30","GBP","Fraqueza","2137"
"2024-01-31","JPY","Fraqueza","2204"
"2024-02-01","AUD","Fraqueza","4309"
"2024-02-02","AUD","Força","2961"
"2024-02-04","AUD","Força","2961"
"2024-02-05","GBP","Fraqueza","3383"
"2024-02-06","AUD","Força","1572"
"2024-02-07","GBP","Força","2399"
"2024-02-08","JPY","Fraqueza","5735"
"2024-02-09","NZD","Força","3531"
"2024-02-11","NZD","Força","3531"
"2024-02-12","JPY","Força","2364"
"2024-02-13","GBP","Força","4638"
"2024-02-14","GBP","Fraqueza","5318"
"2024-02-15","JPY","Força","2804"
"2024-02-16","JPY","Fraqueza","1241"
"2024-02-18","JPY","Fraqueza","1241"
"2024-02-19","JPY","Força","988"
"2024-02-20","NZD","Força","2246"
"2024-02-21","NZD","Força","2323"
"2024-02-22","USD","Fraqueza","1971"
"2024-02-23","JPY","Fraqueza","1616"
"2024-02-25","JPY","Fraqueza","1616"
"2024-02-26","EUR","Força","3316"
"2024-02-27","JPY","Força","1307"
"2024-02-28","NZD","Fraqueza","6904"
"2024-02-29","JPY","Força","5124"
"2024-03-01","JPY","Fraqueza","2620"
"2024-03-03","JPY","Fraqueza","2620"
"2024-03-04","JPY","Fraqueza","2141"
"2024-03-05","NZD","Fraqueza","1175"
"2024-03-06","CHF","Fraqueza","2065"
"2024-03-07","JPY","Força","7504"
"2024-03-08","JPY","Força","4379"
"2024-03-10","JPY","Força","4379"
"2024-03-11","AUD","Fraqueza","1219"
"2024-03-12","JPY","Fraqueza","4320"
"2024-03-13","JPY","Fraqueza","2957"
"2024-03-14","EUR","Fraqueza","1044"
"2024-03-15","NZD","Fraqueza","3265"
"2024-03-17","NZD","Fraqueza","3265"
"2024-03-18","JPY","Fraqueza","1490"
"2024-03-19","JPY","Fraqueza","5873"
"2024-03-20","JPY","Fraqueza","2909"
"2024-03-21","CHF","Fraqueza","4057"
"2024-03-22","JPY","Força","5444"
"2024-03-24","JPY","Força","5444"
"2024-03-25","GBP","Força","1812"
"2024-03-26","CHF","Fraqueza","2579"
"2024-03-27","JPY","Força","3250"
"2024-03-28","AUD","Fraqueza","2916"
"2024-03-29","GBP","Fraqueza","1275"
"2024-03-31","GBP","Fraqueza","1275"
"2024-04-01","AUD","Fraqueza","1329"
"2024-04-02","CHF","Fraqueza","2611"
"2024-04-03","JPY","Fraqueza","1777"
"2024-04-04","AUD","Força","3687"
